Subject Area,Catalog Number,Section,Course Title,Room Number,Start Time,End Time,Day
ANTH,101,GS01,Introduction to Anthropology,6-152,10:00,10:50,MWF
ANTH,101,GS02,Introduction to Anthropology,6-156,9:00,9:50,MWF
ANTH,101,GS03,Introduction to Anthropology,6-152,12:30,1:50,TR
ANTH,101,GS04,Introduction to Anthropology,5-158,8:00,9:20,TR
ANTH,101,GS05,Introduction to Anthropology,6-136,2:00,2:50,MWF
ANTH,101,GS06,Introduction to Anthropology,6-136,8:00,8:50,MWF
ANTH,101,GS07,Introduction to Anthropology,6-214,9:30,10:50,TR
ANTH,101,OP01,Introduction to Anthropology,6-152,6:00,8:50,M
ANTH,101,OP95,Introduction to Anthropology,V-MCO,,,
ANTH,110,GS01,"Gender, Age and Culture",6-152,11:00,11:50,MWF
ANTH,110,GS02,"Gender, Age and Culture",5-158,2:00,3:20,TR
ANTH,110,OP95,"Gender, Age and Culture",V-MCO,,,
ANTH,150,GS01,Race and Racism in Modern World,6-132,3:30,4:50,TR
ANTH,150,GS02,Race and Racism in Modern World,6-152,12:00,12:50,MWF
ANTH,150,GS03,Race and Racism in Modern World,6-152,1:00,1:50,MWF
ANTH,206,AS01,Introduction to Archaeology,7-327,1:00,1:50,MW
ANTH,206,X01L,Introduction to Archaeology,7-333,10:00,10:50,R
ANTH,206,X02L,Introduction to Archaeology,7-333,11:00,11:50,R
ANTH,206,X03L,Introduction to Archaeology,7-333,12:00,12:50,R
ANTH,207,AS01,Introduction to Social and Cultural Anthropology,6-256,2:00,2:50,MWF
ANTH,208,AS01,Introduction to Linguistic Anthropology,7-325,12:00,12:50,MWF
ANTH,209,AS01,Biological Anthropology,7-277,3:00,3:50,MW
ANTH,209,X01L,Biological Anthropology,7-333,10:00,10:50,T
ANTH,209,X02L,Biological Anthropology,7-333,11:00,11:50,T
ANTH,209,X03L,Biological Anthropology,7-333,12:00,12:50,T
ANTH,219,OP95,World Prehistory,V-MCO,,,
ANTH,245,AS01,Ethnography of Mediterranean Peoples,6-348,11:00,11:50,MWF
ANTH,250,AS01,Introduction to Canadian Indigenous Peoples,6-238,3:30,4:50,TR
ANTH,262,OP01,Peoples and Cultures of South America,5-329,6:00,8:50,W
ANTH,318,AS01,Political Anthropology,7-341,8:00,8:50,MWF
ANTH,340,AS01,Canadian Indigenous Issues,7-122,2:00,3:20,TR
ANTH,375,AS01,Zooarchaeology,7-333,12:00,12:50,W
ANTH,375,X01L,Zooarchaeology,7-333,12:00,1:50,F
ANTH,375,X02L,Zooarchaeology,7-333,2:00,3:50,F
ANTH,394,AS01,Ethnographic Research Methods,7-122,11:00,11:50,MWF
ANTH,395,AS01,Archaeological Method Issues,7-233,9:00,9:50,MWF
ANTH,399,AS01,Ecological Perspectives in Anthropology,6-133,10:00,10:50,MWF
ANTH,411,AS01,Environmental Archaeology,7-165,8:00,9:20,TR
ANTH,420,AS01,Culture and Globalization,7-165,11:00,1:50,T
ANTH,440,AS01,The Anthropology of Colonial Encounters,7-143,2:00,4:50,M
ANTH,499A,AS01,Honours Thesis I,ED-OC,,,
ASTR,120,AS01,The Astronomy of the Solar System,6-152,8:00,9:20,TR
BICM,200,AS01,Introductory Biochemistry,5-309,11:00,12:20,TR
BICM,320,AS01,Structure and Function of Biomolecules,5-309,8:00,9:20,TR
BIOL,101,AS01,Current Issues in Human Biology,6-156,10:00,10:50,MWF
BIOL,101,AS02,Current Issues in Human Biology,6-214,8:00,8:50,MWF
BIOL,101,AS03,Current Issues in Human Biology,5-158,3:30,4:50,TR
BIOL,102,AS01,Nutrition and the Body,9-202,11:00,12:20,TR
BIOL,102,AS02,Nutrition and the Body,6-132,2:00,2:50,MWF
BIOL,103,AS01,Humans and Their Environment,7-286,12:30,1:50,MW
BIOL,103,AS02,Humans and Their Environment,11-463,8:00,9:20,TR
BIOL,107,AS01,Introduction to Cell Biology,7-286,11:00,11:50,MWF
BIOL,107,AS02,Introduction to Cell Biology,5-158,4:00,4:50,MWF
BIOL,107,AS03,Introduction to Cell Biology,5-152,11:00,12:20,TR
BIOL,107,AS04,Introduction to Cell Biology,6-132,3:00,3:50,MWF
BIOL,107,AS05,Introduction to Cell Biology,6-136,4:00,4:50,MWF
BIOL,107,X01L,Introduction to Cell Biology,6-168,8:00,10:50,M
BIOL,107,X02L,Introduction to Cell Biology,6-168,12:00,2:50,M
BIOL,107,X03L,Introduction to Cell Biology,6-168,5:00,7:50,M
BIOL,107,X04L,Introduction to Cell Biology,6-168,8:00,10:50,T
BIOL,107,X05L,Introduction to Cell Biology,6-168,11:00,1:50,T
BIOL,107,X06L,Introduction to Cell Biology,6-168,2:00,4:50,T
BIOL,107,X07L,Introduction to Cell Biology,6-168,5:00,7:50,T
BIOL,107,X08L,Introduction to Cell Biology,6-168,8:00,10:50,W
BIOL,107,X09L,Introduction to Cell Biology,6-168,12:00,2:50,W
BIOL,107,X10L,Introduction to Cell Biology,6-168,5:00,7:50,W
BIOL,107,X11L,Introduction to Cell Biology,6-168,8:00,10:50,R
BIOL,107,X12L,Introduction to Cell Biology,6-168,11:00,1:50,R
BIOL,107,X13L,Introduction to Cell Biology,6-168,2:00,4:50,R
BIOL,107,X14L,Introduction to Cell Biology,6-168,5:00,7:50,R
BIOL,107,X15L,Introduction to Cell Biology,6-168,8:00,10:50,F
BIOL,107,X16L,Introduction to Cell Biology,6-168,12:00,2:50,F
BIOL,107,X17L,Introduction to Cell Biology,6-168,5:00,7:50,F
BIOL,108,AS01,Organisms in Their Environment,6-212,3:30,4:50,TR
BIOL,108,AS02,Organisms in Their Environment,5-152,4:00,4:50,MWF
BIOL,108,AS03,Organisms in Their Environment,6-214,11:00,11:50,MWF
BIOL,108,AS04,Organisms in Their Environment,6-214,3:30,4:50,TR
BIOL,108,AS05,Organisms in Their Environment,7-284,3:00,3:50,MWF
BIOL,108,X01L,Organisms in Their Environment,6-164,8:00,10:50,M
BIOL,108,X02L,Organisms in Their Environment,6-164,12:00,2:50,M
BIOL,108,X03L,Organisms in Their Environment,6-164,5:00,7:50,M
BIOL,108,X04L,Organisms in Their Environment,6-164,8:00,10:50,T
BIOL,108,X05L,Organisms in Their Environment,6-164,12:30,3:20,T
BIOL,108,X06L,Organisms in Their Environment,6-164,5:00,7:50,T
BIOL,108,X07L,Organisms in Their Environment,6-164,8:00,10:50,W
BIOL,108,X08L,Organisms in Their Environment,6-164,12:00,2:50,W
BIOL,108,X09L,Organisms in Their Environment,6-164,5:00,7:50,W
BIOL,108,X10L,Organisms in Their Environment,6-164,8:00,10:50,R
BIOL,108,X11L,Organisms in Their Environment,6-164,12:30,3:20,R
BIOL,108,X12L,Organisms in Their Environment,6-164,5:00,7:50,R
BIOL,108,X13L,Organisms in Their Environment,6-164,8:00,10:50,F
BIOL,108,X14L,Organisms in Their Environment,6-164,12:00,2:50,F
BIOL,108,X15L,Organisms in Their Environment,6-164,5:00,7:50,F
BIOL,201,AS01,Eukaryotic Cellular Biology I,6-212,2:00,2:50,MWF
BIOL,201,AS02,Eukaryotic Cellular Biology I,6-344,3:00,3:50,MWF
BIOL,205,AS01,Principles of Molecular Biology,6-344,1:00,1:50,MWF
BIOL,205,X01L,Principles of Molecular Biology,5-027,8:00,10:50,R
BIOL,205,X02L,Principles of Molecular Biology,5-027,12:30,3:20,R
BIOL,207,AS01,Principles of Genetics,5-135,11:00,12:20,TR
BIOL,207,AS02,Principles of Genetics,5-106,11:00,11:50,MWF
BIOL,207,AS03,Principles of Genetics,6-344,8:00,8:50,MWF
BIOL,207,X01L,Principles of Genetics,5-021,8:00,10:50,M
BIOL,207,X02L,Principles of Genetics,5-021,12:00,2:50,M
BIOL,207,X03L,Principles of Genetics,5-021,4:00,6:50,M
BIOL,207,X04L,Principles of Genetics,5-021,8:00,10:50,T
BIOL,207,X05L,Principles of Genetics,5-021,8:00,10:50,R
BIOL,207,X06L,Principles of Genetics,5-027,4:30,7:20,R
BIOL,208,AS01,Principles of Ecology,7-341,11:00,11:50,MWF
BIOL,208,AS02,Principles of Ecology,6-258,3:00,3:50,MWF
BIOL,208,AS03,Principles of Ecology,5-309,3:30,4:50,TR
BIOL,208,X01L,Principles of Ecology,5-027,8:00,10:50,M
BIOL,208,X02L,Principles of Ecology,5-027,12:00,2:50,M
BIOL,208,X03L,Principles of Ecology,5-027,8:00,10:50,T
BIOL,208,X04L,Principles of Ecology,5-027,12:30,3:20,T
BIOL,208,X05L,Principles of Ecology,5-027,8:00,10:50,W
BIOL,208,X06L,Principles of Ecology,5-027,12:00,2:50,W
BIOL,312,AS01,Terrestrial Ecology,5-268,2:00,3:20,TR
BIOL,312,X01L,Terrestrial Ecology,5-027,8:00,10:50,F
BIOL,312,X02L,Terrestrial Ecology,5-027,12:00,2:50,F
BIOL,313,AS01,Animal Developmental Biology,11-428,12:30,1:50,TR
BIOL,313,X01L,Animal Developmental Biology,5-021,12:00,2:50,W
BIOL,313,X02L,Animal Developmental Biology,5-021,12:00,2:50,W
BIOL,315,AS01,History of Biology,7-341,3:30,4:50,TR
BIOL,315,X01S,History of Biology,6-256,11:00,11:50,M
BIOL,321,AS01,Mechanisms of Evolution,5-168,3:00,3:50,MWF
BIOL,367,AS01,Conservation Biology,5-168,4:00,4:50,MWF
BIOL,371,AS01,Animal Behaviour,7-233,8:00,9:20,TR
BIOL,371,X01L,Animal Behaviour,6-143,12:00,2:50,W
BIOL,371,X02L,Animal Behaviour,6-143,12:00,2:50,W
BIOL,421,AS01,Techniques in Molecular and Cellular Biology,5-021,2:00,4:50,TR
BIOL,492,AS01,Field Placement,,,,
BIOL,495,AS01,Special Topics,5-213,11:00,12:20,TR
BIOL,498,AS01,Advanced Independent Study,,,,
BIOL,498,AS02,Advanced Independent Study,,,,
BIOL,498,AS03,Advanced Independent Study,,,,
BIOL,499A,AS01,Honours Thesis I,,,,
BOTN,205,AS01,Fundamentals of Plant Biology,11-463,11:00,12:20,TR
BOTN,205,X01L,Fundamentals of Plant Biology,6-143,12:00,2:50,M
BOTN,205,X02L,Fundamentals of Plant Biology,6-143,8:00,10:50,M
CHEM,101,AS01,Introductory University Chemistry I,6-156,2:00,3:50,TR
CHEM,101,AS02,Introductory University Chemistry I,6-136,12:00,1:50,TR
CHEM,101,AS03,Introductory University Chemistry I,6-136,10:00,11:50,MW
CHEM,101,AS04,Introductory University Chemistry I,7-284,4:00,5:50,TR
CHEM,101,AS05,Introductory University Chemistry I,6-156,2:00,3:50,MW
CHEM,101,AS06,Introductory University Chemistry I,6-136,12:00,1:50,MW
CHEM,101,AS07,Introductory University Chemistry I,6-136,8:00,9:50,TR
CHEM,101,AS08,Introductory University Chemistry I,6-136,10:00,11:50,TR
CHEM,101,X01L,Introductory University Chemistry I,6-161,11:00,1:50,M
CHEM,101,X02L,Introductory University Chemistry I,6-161,2:00,4:50,M
CHEM,101,X03L,Introductory University Chemistry I,6-161,5:00,7:50,M
CHEM,101,X04L,Introductory University Chemistry I,6-161,8:00,10:50,T
CHEM,101,X05L,Introductory University Chemistry I,6-161,12:30,3:20,T
CHEM,101,X06L,Introductory University Chemistry I,6-161,4:30,7:20,T
CHEM,101,X07L,Introductory University Chemistry I,6-142,4:30,7:20,T
CHEM,101,X08L,Introductory University Chemistry I,6-161,8:00,10:50,W
CHEM,101,X09L,Introductory University Chemistry I,6-142,8:00,10:50,W
CHEM,101,X10L,Introductory University Chemistry I,6-142,12:00,2:50,W
CHEM,101,X11L,Introductory University Chemistry I,6-161,12:00,2:50,W
CHEM,101,X12L,Introductory University Chemistry I,6-161,4:00,6:50,W
CHEM,101,X13L,Introductory University Chemistry I,6-142,4:00,6:50,W
CHEM,101,X14L,Introductory University Chemistry I,6-161,8:00,10:50,R
CHEM,101,X15L,Introductory University Chemistry I,6-142,8:00,10:50,R
CHEM,101,X16L,Introductory University Chemistry I,6-142,12:30,3:20,R
CHEM,101,X17L,Introductory University Chemistry I,6-161,12:30,3:20,R
CHEM,101,X18L,Introductory University Chemistry I,6-142,4:30,7:20,R
CHEM,101,X19L,Introductory University Chemistry I,6-161,4:30,7:20,R
CHEM,101,X20L,Introductory University Chemistry I,6-142,8:00,10:50,F
CHEM,101,X21L,Introductory University Chemistry I,6-161,8:00,10:50,F
CHEM,101,X22L,Introductory University Chemistry I,6-161,12:00,2:50,F
CHEM,101,X23L,Introductory University Chemistry I,6-142,12:00,2:50,F
CHEM,101,X24L,Introductory University Chemistry I,6-161,4:00,6:50,F
CHEM,101,X25L,Introductory University Chemistry I,6-142,4:00,6:50,F
CHEM,101,X26L,Introductory University Chemistry I,6-161,8:00,10:50,M
CHEM,101,X27L,Introductory University Chemistry I,6-142,12:30,3:20,T
CHEM,102,AS01,Introductory University Chemistry II,6-212,10:00,11:50,WF
CHEM,102,X01L,Introductory University Chemistry II,5-014,8:00,10:50,M
CHEM,102,X02L,Introductory University Chemistry II,5-014,12:00,2:50,M
CHEM,102,X03L,Introductory University Chemistry II,5-014,4:00,6:50,M
CHEM,211,AS01,Analytical Chemistry I,5-329,12:30,1:50,TR
CHEM,211,X01L,Analytical Chemistry I,5-014,2:30,6:20,T
CHEM,211,X02L,Analytical Chemistry I,5-014,2:00,5:50,W
CHEM,242,AS01,Fundamentals of Physical Chemistry,5-141,2:00,3:20,TR
CHEM,242,X01L,Fundamentals of Physical Chemistry,5-014,8:00,10:50,T
CHEM,261,AS01,Organic Chemistry I,6-232,3:00,3:50,MWF
CHEM,261,AS02,Organic Chemistry I,7-385,2:00,3:20,TR
CHEM,261,AS03,Organic Chemistry I,5-301,11:00,11:50,MWF
CHEM,261,AS04,Organic Chemistry I,7-138,11:00,12:20,TR
CHEM,261,X01L,Organic Chemistry I,5-009,8:00,10:50,W
CHEM,261,X02L,Organic Chemistry I,5-009,12:00,2:50,W
CHEM,261,X03L,Organic Chemistry I,5-009,4:00,6:50,W
CHEM,261,X04L,Organic Chemistry I,5-009,8:00,10:50,R
CHEM,261,X05L,Organic Chemistry I,5-009,12:30,3:20,R
CHEM,261,X06L,Organic Chemistry I,5-009,4:30,7:20,R
CHEM,261,X07L,Organic Chemistry I,5-009,8:00,10:50,F
CHEM,261,X08L,Organic Chemistry I,5-009,12:00,2:50,F
CHEM,263,AS01,Organic Chemistry II,5-301,4:00,4:50,MWF
CHEM,263,X01L,Organic Chemistry II,5-009,8:00,10:50,T
CHEM,263,X02L,Organic Chemistry II,5-009,12:30,3:20,T
CHEM,333,AS01,Organometallic Chemistry,5-141,8:00,9:20,MW
CHEM,333,X01L,Organometallic Chemistry,5-009,2:00,4:50,M
CHEM,353,AS01,Forensic Chemistry,5-301,12:30,1:50,TR
CHEM,353,X01L,Forensic Chemistry,5-014,2:00,4:50,F
CHEM,353,X02L,Forensic Chemistry,5-014,8:00,10:50,F
CHEM,364,AS01,Introduction to Medicinal Chemistry,5-301,10:00,10:50,MWF
CHEM,372,AS01,Environmental Chemistry,5-301,11:00,12:20,TR
CHEM,372,X01L,Environmental Chemistry,5-014,8:00,10:50,R
CHEM,372,X02L,Environmental Chemistry,5-014,2:00,4:50,R
CHEM,398,AS01,Independent Study,,,,
CHEM,498,AS01,Advanced Independent Study,,,,
CHIN,101,CA80,Introductory Chinese I,5-102,2:00,"3:50
 2:50","MW
 F"
CHIN,201,CA80,Introductory Chinese III,5-207,12:00,"1:50
 12:50","MW
 F"
CHME,103,BE01,Introductory University Chemistry I for Engineers,6-156,4:00,5:50,TR
CHME,103,BE02,Introductory University Chemistry I for Engineers,6-156,12:00,1:50,WF
CHME,103,BE03,Introductory University Chemistry I for Engineers,6-152,2:00,3:50,TR
CHME,103,X55L,Introductory University Chemistry I for Engineers,6-142,8:00,10:50,M
CHME,103,X56L,Introductory University Chemistry I for Engineers,6-142,8:00,10:50,M
CHME,103,X57L,Introductory University Chemistry I for Engineers,6-142,2:00,4:50,M
CHME,103,X58L,Introductory University Chemistry I for Engineers,6-142,2:00,4:50,M
CHME,103,X59L,Introductory University Chemistry I for Engineers,6-142,8:00,10:50,T
CHME,103,X60L,Introductory University Chemistry I for Engineers,6-142,8:00,10:50,T
CHME,103,X61L,Introductory University Chemistry I for Engineers,6-142,5:00,7:50,M
CHME,103,X62L,Introductory University Chemistry I for Engineers,6-142,11:00,1:50,M
CHME,103,X63L,Introductory University Chemistry I for Engineers,6-142,11:00,1:50,M
CLAS,101,GS01,Approaches to the Ancient Mediterranean World,6-291,1:00,1:50,MWF
CLAS,101,GS02,Approaches to the Ancient Mediterranean World,6-238,8:00,9:20,TR
CLAS,101,GS03,Approaches to the Ancient Mediterranean World,7-279,12:30,1:50,TR
CLAS,102,GS01,Greek and Roman Mythology,6-238,12:00,12:50,MWF
CLAS,102,GS02,Greek and Roman Mythology,7-341,2:00,3:20,TR
CLAS,102,GS03,Greek and Roman Mythology,7-227,3:30,4:50,TR
CLAS,102,GS04,Greek and Roman Mythology,6-153,9:00,9:50,MWF
CLAS,102,GS05,Greek and Roman Mythology,7-233,4:00,4:50,MWF
CLAS,102,OP01,Greek and Roman Mythology,6-242,6:00,8:50,W
CLAS,210,AS01,Survey of Greek and Roman History,7-278,8:00,8:50,MWF
CLAS,221,AS01,Literature of Greece and Rome,7-325,8:00,9:20,TR
CLAS,252,AS01,Ancient Art and Architecture,7-278,11:00,11:50,MWF
CLAS,270,GS01,Greek Civilization,7-278,10:00,10:50,MWF
CLAS,305,AS01,Comparative Mythology,7-138,9:00,9:50,MWF
CLAS,356,AS01,Myth in Classical Art,11-428,2:00,3:20,TR
CLAS,398,AS01,Independent Study,,,,
CMPT,101,AS01,Introduction to Computing I,5-152,8:00,9:20,TR
CMPT,101,AS02,Introduction to Computing I,5-158,2:00,2:50,MWF
CMPT,101,AS03,Introduction to Computing I,5-158,3:00,3:50,MWF
CMPT,101,OP60,Introduction to Computing I,9-218,6:00,8:50,T
CMPT,101,X01L,Introduction to Computing I,5-235,8:00,10:50,F
CMPT,101,X02L,Introduction to Computing I,5-235,2:00,4:50,R
CMPT,101,X03L,Introduction to Computing I,5-235,8:00,10:50,M
CMPT,101,X04L,Introduction to Computing I,5-235,11:00,1:50,R
CMPT,101,X05L,Introduction to Computing I,5-235,11:00,1:50,M
CMPT,101,X06L,Introduction to Computing I,5-235,11:00,1:50,T
CMPT,101,X07L,Introduction to Computing I,5-235,11:00,1:50,W
CMPT,101,X08L,Introduction to Computing I,5-235,8:00,10:50,W
CMPT,101,X09L,Introduction to Computing I,5-235,2:00,4:50,T
CMPT,101,X60L,Introduction to Computing I,5-235,6:00,8:50,M
CMPT,103,AS01,Introduction to Computing II,5-158,12:30,1:50,TR
CMPT,103,X01L,Introduction to Computing II,5-216,11:00,1:50,M
CMPT,103,X02L,Introduction to Computing II,5-216,2:00,4:50,F
CMPT,103,X03L,Introduction to Computing II,5-216,8:00,10:50,M
CMPT,104,SB80,Fluency with Information Technology,"7-325
 5-264",8:00,9:20,MW
CMPT,200,AS01,Data Structures and Algorithms,5-329,3:30,4:50,TR
CMPT,200,AS02,Data Structures and Algorithms,6-133,8:00,9:20,TR
CMPT,200,X01L,Data Structures and Algorithms,5-216,8:00,10:50,F
CMPT,200,X02L,Data Structures and Algorithms,5-216,2:00,4:50,W
CMPT,200,X03L,Data Structures and Algorithms,5-216,8:00,10:50,W
CMPT,200,X04L,Data Structures and Algorithms,5-216,2:00,4:50,M
CMPT,201,AS01,Practical Programming Methodology,6-153,2:00,2:50,MWF
CMPT,201,X01L,Practical Programming Methodology,5-216,11:00,1:50,R
CMPT,201,X02L,Practical Programming Methodology,5-216,11:00,1:50,T
CMPT,204,AS01,Algorithms I,6-348,12:00,1:50,M
CMPT,204,X01S,Algorithms I,6-348,12:00,1:50,W
CMPT,220,AS01,"Unix, Scripting, and Other Tools",5-322,10:00,10:50,MWF
CMPT,220,X01L,"Unix, Scripting, and Other Tools",5-216,2:00,3:50,R
CMPT,220,X02L,"Unix, Scripting, and Other Tools",5-216,2:00,3:50,T
CMPT,250,AS01,Introduction to Human Computer Interaction,5-301,9:30,10:50,TR
CMPT,250,X01L,Introduction to Human Computer Interaction,5-216,12:00,1:50,F
CMPT,250,X02L,Introduction to Human Computer Interaction,5-216,12:00,1:50,W
CMPT,272,AS01,Formal Systems and Logic in Computing Science,5-301,8:00,9:20,TR
CMPT,272,X01L,Formal Systems and Logic in Computing Science,5-141,2:00,3:50,M
CMPT,272,X01S,Formal Systems and Logic in Computing Science,5-301,2:00,2:50,F
CMPT,272,X02L,Formal Systems and Logic in Computing Science,5-141,12:00,1:50,M
CMPT,305,AS01,Introduction to Object-Oriented Programming,5-329,9:00,9:50,MWF
CMPT,305,X01L,Introduction to Object-Oriented Programming,5-231,2:00,4:50,T
CMPT,305,X02L,Introduction to Object-Oriented Programming,5-231,11:00,1:50,R
CMPT,311,AS01,Phenomenon of Technology,5-207,11:00,12:20,TR
CMPT,330,AS01,Introduction to Real Time Gaming,5-231,11:00,11:50,MWF
CMPT,330,X01L,Introduction to Real Time Gaming,5-231,3:00,4:50,M
CMPT,330,X02L,Introduction to Real Time Gaming,5-231,3:00,4:50,M
CMPT,360,AS01,Introduction to Operating Systems,5-212,10:00,10:50,MWF
CMPT,360,AS02,Introduction to Operating Systems,5-206,11:00,12:20,TR
CMPT,360,X01L,Introduction to Operating Systems,5-212,2:00,4:50,R
CMPT,360,X02L,Introduction to Operating Systems,5-212,2:00,4:50,T
CMPT,361,AS01,Introduction to Networks,5-141,9:30,10:50,TR
CMPT,361,X01L,Introduction to Networks,5-212,2:00,4:50,M
CMPT,391,AS01,Database Management Systems,5-206,10:00,10:50,MWF
CMPT,391,X01L,Database Management Systems,5-231,2:00,4:50,R
CMPT,391,X02L,Database Management Systems,5-231,2:00,4:50,R
CMPT,395,AS01,Introduction to Software Engineering,5-213,8:00,8:50,MWF
CMPT,395,X01L,Introduction to Software Engineering,5-212,11:00,1:50,T
CMPT,395,X02L,Introduction to Software Engineering,5-212,11:00,1:50,T
CMPT,399,AS01,Topics in Computer Science,5-212,9:30,10:50,TR
CMPT,399,X01L,Topics in Computer Science,5-212,2:00,4:50,W
CMPT,399,X02L,Topics in Computer Science,5-212,2:00,4:50,W
CMPT,464,AS01,Wireless Net and Embedded Systems,5-212,11:00,12:20,WF
CMPT,464,X01L,Wireless Net and Embedded Systems,5-212,11:00,1:50,M
CMPT,496,AS01,Final Project,,,,
COMP,102,AS02,World Literature to the 17th Century,7-139,3:30,4:50,TR
COMP,102,AS03,World Literature to the 17th Century,5-259,2:00,2:50,MWF
COMP,102,AS04,World Literature to the 17th Century,9-211,11:00,11:50,MWF
COMP,102,AS05,World Literature to the 17th Century,5-259,3:00,3:50,MWF
COMP,102,OP01,World Literature to the 17th Century,5-242,6:00,8:50,M
COMP,103,AS01,World Literature from the 17th Century to the Present,8-218,2:00,3:20,TR
CRWR,295,AS01,Introduction to Creative Writing,7-279,8:00,9:20,TR
CRWR,295,AS02,Introduction to Creative Writing,5-234,12:30,1:50,TR
CRWR,295,AS03,Introduction to Creative Writing,5-322,2:00,3:20,TR
CRWR,394,AS01,Writing Character,7-184,3:30,4:50,TR
CRWR,395,AS01,Writing Poetry,7-325,12:30,1:50,TR
EASC,101,AS01,Introduction to Physical Science,6-156,12:30,1:50,TR
EASC,101,AS02,Introduction to Physical Science,6-214,2:00,3:20,TR
EASC,101,AS03,Introduction to Physical Science,6-132,4:00,4:50,MWF
EASC,101,X01L,Introduction to Physical Science,5-024,8:00,10:50,M
